MatchDate,MatchLink,Latitude,Longitude,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,error
2019-03-02,https://www.espncricinfo.com/ci/engine/match/1157202.html,20.4625,85.8828,28.7,18.1,0.0,15.6,2.0,
2019-11-14,https://www.espncricinfo.com/ci/engine/match/1205800.html,19.076,72.8777,31.7,23.0,0.0,11.6,0.0,
2019-02-22,https://www.espncricinfo.com/ci/engine/match/1157108.html,16.525,80.7522,38.0,21.3,0.0,14.8,0.0,
2021-10-18,https://www.espncricinfo.com/ci/engine/match/1273715.html,24.4539,54.3773,34.9,27.5,0.0,20.0,1.0,
2021-10-22,https://www.espncricinfo.com/ci/engine/match/1273723.html,25.3463,55.4209,35.4,25.0,0.0,22.0,0.0,
2022-10-23,https://www.espncricinfo.com/ci/engine/match/1298149.html,-42.8821,147.3272,12.7,10.7,1.3,27.7,51.0,
2024-01-18,https://www.espncricinfo.com/ci/engine/match/1412544.html,6.9344,79.8538,29.0,22.4,0.7,13.0,51.0,
2019-02-15,https://www.espncricinfo.com/ci/engine/match/1174696.html,6.9271,79.8612,30.2,23.8,10.0,10.4,61.0,
2019-02-16,https://www.espncricinfo.com/ci/engine/match/1174759.html,6.9271,79.8612,29.4,23.6,7.8,12.4,63.0,
2020-01-17,https://www.espncricinfo.com/ci/engine/match/1211924.html,7.1641,79.9594,31.4,23.0,0.7,10.7,51.0,
2020-11-27,https://www.espncricinfo.com/ci/engine/match/1238753.html,6.1248,81.1185,29.5,25.2,0.5,15.7,51.0,
2021-12-12,https://www.espncricinfo.com/ci/engine/match/1291206.html,6.9344,79.8538,29.9,22.7,0.9,10.2,51.0,
2022-12-06,https://www.espncricinfo.com/ci/engine/match/1324520.html,6.1248,81.1185,28.1,23.9,1.2,10.0,51.0,
2025-01-22,https://www.espncricinfo.com/ci/engine/match/1462187.html,25.2333,55.3431,24.8,16.2,0.0,23.7,0.0,
2013-03-30,https://www.espncricinfo.com/ci/engine/match/626442.html,22.7196,75.8577,33.2,19.9,0.0,13.0,1.0,
2014-04-04,https://www.espncricinfo.com/ci/engine/match/671289.html,30.7056,76.7186,28.7,15.8,0.0,22.9,3.0,
2015-03-26,https://www.espncricinfo.com/ci/engine/match/776091.html,28.6139,77.209,33.6,20.2,0.0,8.9,3.0,
2015-03-27,https://www.espncricinfo.com/ci/engine/match/776079.html,28.6139,77.209,33.8,21.8,0.0,11.6,3.0,
2015-03-28,https://www.espncricinfo.com/ci/engine/match/776031.html,28.6139,77.209,34.1,16.4,0.0,8.9,3.0,
2015-04-02,https://www.espncricinfo.com/ci/engine/match/857089.html,20.4625,85.8828,36.8,26.0,0.5,16.9,51.0,
2015-04-03,https://www.espncricinfo.com/ci/engine/match/857097.html,20.4625,85.8828,39.6,26.0,0.0,16.4,1.0,
2015-04-05,https://www.espncricinfo.com/ci/engine/match/857109.html,20.4625,85.8828,35.2,26.8,0.5,17.8,53.0,
2018-01-10,https://www.espncricinfo.com/ci/engine/match/1130686.html,28.6139,77.209,21.0,6.8,0.0,19.5,0.0,
2019-05-05,https://www.espncricinfo.com/ci/engine/match/1152840.html,51.4816,-3.1791,11.1,2.8,0.6,18.4,51.0,
2019-11-09,https://www.espncricinfo.com/ci/engine/match/1205742.html,17.6868,83.2185,30.7,20.5,0.0,12.2,3.0,
2019-11-12,https://www.espncricinfo.com/ci/engine/match/1205778.html,17.6868,83.2185,28.7,22.8,0.7,12.9,53.0,
2019-11-14,https://www.espncricinfo.com/ci/engine/match/1205787.html,18.1164,83.4115,29.9,20.6,0.0,13.4,0.0,
2019-11-17,https://www.espncricinfo.com/ci/engine/match/1205822.html,17.6868,83.2185,29.7,23.2,0.0,14.2,3.0,
2019-11-08,https://www.espncricinfo.com/ci/engine/match/1205721.html,18.9388,72.8258,27.6,26.3,2.4,29.6,51.0,
2019-11-12,https://www.espncricinfo.com/ci/engine/match/1205781.html,30.7333,76.7794,23.6,13.9,0.0,12.5,3.0,
2019-11-15,https://www.espncricinfo.com/ci/engine/match/1205808.html,30.7333,76.7794,24.7,17.0,0.0,16.9,3.0,
2022-09-30,https://www.espncricinfo.com/ci/engine/match/1335022.html,-29.6006,30.3796,25.3,16.7,0.0,14.5,3.0,
2022-10-01,https://www.espncricinfo.com/ci/engine/match/1335026.html,-29.6006,30.3796,22.9,15.3,0.6,20.5,51.0,
2022-10-08,https://www.espncricinfo.com/ci/engine/match/1335035.html,-33.0292,27.8546,24.7,16.1,0.0,22.4,3.0,
2022-10-09,https://www.espncricinfo.com/ci/engine/match/1335036.html,-33.0292,27.8546,22.6,16.0,0.2,24.7,51.0,
2024-10-06,https://www.espncricinfo.com/ci/engine/match/1444774.html,-26.2041,28.0473,24.3,6.0,0.0,13.5,3.0,
2024-10-16,https://www.espncricinfo.com/ci/engine/match/1444787.html,-26.2041,28.0473,18.5,8.6,0.0,18.1,3.0,
2018-03-01,https://www.espncricinfo.com/ci/engine/match/1137472.html,6.9271,79.8612,30.3,24.2,1.7,11.4,61.0,
2018-03-02,https://www.espncricinfo.com/ci/engine/match/1137483.html,6.9271,79.8612,29.9,24.4,7.0,10.6,63.0,
2019-02-19,https://www.espncricinfo.com/ci/engine/match/1174784.html,7.1641,79.9594,31.4,23.2,0.9,12.9,51.0,
2020-01-15,https://www.espncricinfo.com/ci/engine/match/1211918.html,6.9271,79.8612,30.3,20.2,0.0,24.5,3.0,
2020-01-17,https://www.espncricinfo.com/ci/engine/match/1211923.html,7.1641,79.9594,31.4,23.0,0.7,10.7,51.0,
2021-03-06,https://www.espncricinfo.com/ci/engine/match/1253122.html,7.1641,79.9594,34.0,23.9,1.9,15.0,53.0,
2021-03-07,https://www.espncricinfo.com/ci/engine/match/1253131.html,6.9271,79.8612,30.3,23.2,5.8,13.4,61.0,
2021-03-10,https://www.espncricinfo.com/ci/engine/match/1253144.html,7.1641,79.9594,32.1,22.1,32.9,15.3,65.0,
2021-03-12,https://www.espncricinfo.com/ci/engine/match/1253156.html,6.9271,79.8612,30.7,23.4,3.3,13.7,63.0,
2021-03-16,https://www.espncricinfo.com/ci/engine/match/1253173.html,6.9271,79.8612,30.3,23.9,5.7,14.2,63.0,
2021-03-18,https://www.espncricinfo.com/ci/engine/match/1253177.html,6.9271,79.8612,29.9,23.1,0.7,13.0,53.0,
2022-05-22,https://www.espncricinfo.com/ci/engine/match/1315831.html,6.9271,79.8612,29.0,25.4,3.0,22.5,53.0,
2024-07-02,https://www.espncricinfo.com/ci/engine/match/1428460.html,7.2906,80.6974,28.6,21.9,1.7,16.1,51.0,
2024-07-21,https://www.espncricinfo.com/ci/engine/match/1428482.html,6.9344,79.8538,30.0,25.5,0.0,13.8,3.0,
2009-05-19,https://www.espncricinfo.com/ci/engine/match/392232.html,-26.2041,28.0473,18.8,2.9,0.0,10.0,0.0,
2023-10-27,https://www.espncricinfo.com/ci/engine/match/1383545.html,26.9124,75.7873,31.2,16.5,0.0,9.9,3.0,
2024-12-05,https://www.espncricinfo.com/ci/engine/match/1446085.html,22.7196,75.8577,29.5,17.4,0.0,12.3,3.0,
2023-09-13,https://www.espncricinfo.com/ci/engine/match/1369582.html,6.8076,-58.1627,32.8,26.8,1.7,18.1,61.0,
2023-10-16,https://www.espncricinfo.com/ci/engine/match/1383439.html,19.0434,73.0243,34.4,24.1,0.0,10.4,3.0,
2023-10-21,https://www.espncricinfo.com/ci/engine/match/1383494.html,19.0434,73.0243,35.5,24.3,0.6,11.2,51.0,
2023-10-27,https://www.espncricinfo.com/ci/engine/match/1383548.html,19.0434,73.0243,35.2,20.5,0.0,14.4,3.0,
2007-04-07,https://www.espncricinfo.com/ci/engine/match/290570.html,18.9388,72.8258,33.3,25.9,0.0,16.9,3.0,
2011-10-22,https://www.espncricinfo.com/ci/engine/match/526295.html,22.3039,70.8022,34.8,20.8,0.0,9.9,0.0,
2012-03-27,https://www.espncricinfo.com/ci/engine/match/526319.html,18.9389,72.8265,36.0,21.8,0.0,18.7,2.0,
2019-02-28,https://www.espncricinfo.com/ci/engine/match/1157178.html,16.525,80.7522,33.0,24.6,1.6,12.6,53.0,
2009-12-30,https://www.espncricinfo.com/ci/engine/match/417703.html,-42.8821,147.3272,28.5,10.4,0.0,21.3,2.0,
2010-01-02,https://www.espncricinfo.com/ci/engine/match/417705.html,-37.8136,144.9631,20.3,15.1,4.3,26.1,61.0,
2011-12-16,https://www.espncricinfo.com/ci/engine/match/524915.html,-33.8688,151.2093,19.0,14.5,0.1,16.8,51.0,
2012-10-16,https://www.espncricinfo.com/ci/engine/match/574257.html,-33.9249,18.4241,23.5,15.4,0.0,23.6,2.0,
2013-01-07,https://www.espncricinfo.com/ci/engine/match/571259.html,-27.4698,153.0251,26.9,21.6,0.0,19.2,3.0,
2013-12-21,https://www.espncricinfo.com/ci/engine/match/654033.html,-33.8688,151.2093,25.2,20.8,0.0,24.7,3.0,
2014-01-02,https://www.espncricinfo.com/ci/engine/match/654055.html,-27.4698,153.0251,31.7,19.6,0.0,15.1,3.0,
2014-01-05,https://www.espncricinfo.com/ci/engine/match/654061.html,-34.9285,138.6007,20.0,15.3,0.7,39.0,51.0,
2014-01-15,https://www.espncricinfo.com/ci/engine/match/654077.html,-33.8688,151.2093,28.9,19.7,0.0,24.7,0.0,
2014-01-18,https://www.espncricinfo.com/ci/engine/match/654083.html,-37.8136,144.9631,23.4,17.3,0.4,23.0,51.0,
2014-01-25,https://www.espncricinfo.com/ci/engine/match/654091.html,-33.8688,151.2093,21.5,18.7,2.2,31.7,61.0,
2020-01-25,https://www.espncricinfo.com/ci/engine/match/1195624.html,-33.8688,151.2093,27.1,21.8,3.6,17.8,53.0,
2011-10-21,https://www.espncricinfo.com/ci/engine/match/526287.html,22.7196,75.8577,32.6,18.8,0.0,11.9,3.0,
2013-04-28,https://www.espncricinfo.com/ci/engine/match/598035.html,21.2514,81.6296,39.2,27.2,0.0,12.1,1.0,
2017-04-09,https://www.espncricinfo.com/ci/engine/match/1082596.html,17.385,78.4867,38.2,25.3,0.0,10.0,1.0,
2016-01-05,https://www.espncricinfo.com/ci/engine/match/937161.html,6.9271,79.8612,30.6,24.2,1.5,11.3,53.0,
2016-01-06,https://www.espncricinfo.com/ci/engine/match/937173.html,6.9271,79.8612,31.0,24.2,5.0,9.6,63.0,
2018-03-04,https://www.espncricinfo.com/ci/engine/match/1137490.html,7.1641,79.9594,29.9,23.2,5.0,12.8,61.0,
