MatchLink,TossWonTeam,TossResult,Series,MatchTime,Team1,Team2,Result,Team1Score,Team1Wickets,Team2Score,Team2Wickets
https://www.espncricinfo.com/ci/engine/match/1417813.html,Trent Rockets (Men),bat,The Hundred Men's Competition,day,Trent Rockets (Men),Southern Brave (Men),Brave won by 2 wickets (with 1 ball remaining),126,8,127,8
https://www.espncricinfo.com/ci/engine/match/1417817.html,Birmingham Phoenix (Men),field,The Hundred Men's Competition,night,Trent Rockets (Men),Birmingham Phoenix (Men),Phoenix won by 6 wickets (with 7 balls remaining),118,10,120,4
https://www.espncricinfo.com/ci/engine/match/1428686.html,Barbados Royals,field,Caribbean Premier League,night,St Kitts and Nevis Patriots,Barbados Royals,Royals won by 2 wickets (with 1 ball remaining),153,8,157,8
https://www.espncricinfo.com/ci/engine/match/1428690.html,Barbados Royals,field,Caribbean Premier League,night,Antigua and Barbuda Falcons,Barbados Royals,Royals won by 10 runs (DLS method),176,5,127,3
https://www.espncricinfo.com/ci/engine/match/1428692.html,Trinbago Knight Riders,field,Caribbean Premier League,night,Barbados Royals,Trinbago Knight Riders,Trinbago won by 2 wickets (with 1 ball remaining),156,7,159,8
https://www.espncricinfo.com/ci/engine/match/1428693.html,Guyana Amazon Warriors,field,Caribbean Premier League,night,Barbados Royals,Guyana Amazon Warriors,Royals won by 32 runs,205,6,173,5
https://www.espncricinfo.com/ci/engine/match/1428699.html,Barbados Royals,bat,Caribbean Premier League,day,Barbados Royals,St Lucia Kings,Kings won by 7 wickets (with 37 balls remaining),96,9,97,3
https://www.espncricinfo.com/ci/engine/match/1428701.html,Barbados Royals,field,Caribbean Premier League,day,St Lucia Kings,Barbados Royals,Kings won by 13 runs,162,3,149,8
https://www.espncricinfo.com/ci/engine/match/1428704.html,Barbados Royals,field,Caribbean Premier League,night,Guyana Amazon Warriors,Barbados Royals,Amazon won by 47 runs,219,8,172,9
https://www.espncricinfo.com/ci/engine/match/1428705.html,Barbados Royals,field,Caribbean Premier League,night,Trinbago Knight Riders,Barbados Royals,Trinbago won by 30 runs,175,7,145,9
https://www.espncricinfo.com/ci/engine/match/1428708.html,Trinbago Knight Riders,bat,Caribbean Premier League,night,Trinbago Knight Riders,Barbados Royals,Royals won by 9 wickets (with 4 balls remaining) (DLS method),168,3,64,1
https://www.espncricinfo.com/ci/engine/match/1428710.html,Guyana Amazon Warriors,field,Caribbean Premier League,night,Barbados Royals,Guyana Amazon Warriors,Amazon won by 8 wickets (with 33 balls remaining),148,10,149,2
https://www.espncricinfo.com/ci/engine/match/1462173.html,MI Emirates,field,International League T20,night,Dubai Capitals,MI Emirates,DC won by 1 run,133,8,132,7
https://www.espncricinfo.com/ci/engine/match/1462176.html,Dubai Capitals,field,International League T20,night,MI Emirates,Dubai Capitals,MI Emirates won by 26 runs,187,7,161,6
https://www.espncricinfo.com/ci/engine/match/1462180.html,Sharjah Warriorz,field,International League T20,night,Dubai Capitals,Sharjah Warriorz,Warriorz won by 5 wickets (with 11 balls remaining),201,5,202,5
https://www.espncricinfo.com/ci/engine/match/1462182.html,Gulf Giants,field,International League T20,night,Dubai Capitals,Gulf Giants,Giants won by 6 wickets (with 11 balls remaining),165,7,168,4
https://www.espncricinfo.com/ci/engine/match/1462195.html,Sharjah Warriorz,field,International League T20,night,Dubai Capitals,Sharjah Warriorz,Warriorz won by 9 wickets (with 49 balls remaining),131,9,135,1
https://www.espncricinfo.com/ci/engine/match/1462201.html,Abu Dhabi Knight Riders,field,International League T20,night,Dubai Capitals,Abu Dhabi Knight Riders,DC won by 26 runs,217,4,191,5
https://www.espncricinfo.com/ci/engine/match/1462203.html,Dubai Capitals,field,International League T20,night,Desert Vipers,Dubai Capitals,DC won by 5 wickets (with 0 balls remaining),189,7,193,5
https://www.espncricinfo.com/ci/engine/match/1462206.html,Dubai Capitals,field,International League T20,night,Desert Vipers,Dubai Capitals,DC won by 4 wickets (with 4 balls remaining),189,5,191,6
https://www.espncricinfo.com/ci/engine/match/885969.html,India,bat,India tour of Zimbabwe,day,India,Zimbabwe,India won by 54 runs,178,5,124,7
https://www.espncricinfo.com/ci/engine/match/885971.html,Zimbabwe,bat,India tour of Zimbabwe,day,Zimbabwe,India,Zimbabwe won by 10 runs,145,7,135,9
https://www.espncricinfo.com/ci/engine/match/1007655.html,India,field,India tour of Zimbabwe,day,Zimbabwe,India,Zimbabwe won by 2 runs,170,6,168,6
https://www.espncricinfo.com/ci/engine/match/1007659.html,Zimbabwe,field,India tour of Zimbabwe,day,India,Zimbabwe,India won by 3 runs,138,6,135,6
https://www.espncricinfo.com/ci/engine/match/1202244.html,Sri Lanka,field,Sri Lanka tour of India,night,India,Sri Lanka,India won by 78 runs,201,6,123,10
https://www.espncricinfo.com/ci/engine/match/335997.html,Kolkata Knight Riders,bat,Indian Premier League,night,Kolkata Knight Riders,Mumbai Indians,MI won by 7 wickets (with 8 balls remaining),137,8,138,3
https://www.espncricinfo.com/ci/engine/match/336036.html,Rajasthan Royals,field,Indian Premier League,night,Mumbai Indians,Rajasthan Royals,RR won by 5 wickets (with 0 balls remaining),145,7,146,5
https://www.espncricinfo.com/ci/engine/match/392199.html,Kolkata Knight Riders,bat,Indian Premier League,day,Kolkata Knight Riders,Royal Challengers Bangalore,RCB won by 5 wickets (with 1 ball remaining),139,6,143,5
https://www.espncricinfo.com/ci/engine/match/392238.html,Royal Challengers Bangalore,field,Indian Premier League,daynight,Chennai Super Kings,Royal Challengers Bangalore,RCB won by 6 wickets (with 7 balls remaining),146,5,149,4
https://www.espncricinfo.com/ci/engine/match/416924.html,Royal Challengers Bangalore,bat,Champions League Twenty20,night,Royal Challengers Bangalore,Cape Cobras,Cape Cobras won by 5 wickets (with 2 balls remaining),180,4,184,5
