Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Harpreet Bhatia,,,,,,,,,,,,,,,,PK,PK,
KC Cariappa,,,,,,,,KKR,PK,PK,,KKR,,RR,RR,RR,,
Chris Woakes,,,,,,,,,,KKR,RCB,,,DC,,,PK,
Mahela Jayawardene,PK,PK,PK,,DC,DC,,,,,,,,,,,,
Jhye Richardson,,,,,,,,,,,,,,PK,,MI,DC,
Ajit Agarkar,KKR,KKR,KKR,DC,DC,DC,,,,,,,,,,,,
Pat Cummins,,,,,,,KKR,KKR,,DC,,,KKR,KKR,KKR,,SRH,SRH
Sanju Samson,,,,,KKR,RR,RR,RR,DC,DC,RR,RR,RR,RR,RR,RR,RR,RR
Rahul Tripathi,,,,,,,,,,,RR,RR,KKR,KKR,SRH,SRH,SRH,CSK
Matthew Kelly,,,,,,,,,,,,KKR,,,,,,
Ramandeep Singh,,,,,,,,,,,,,,,MI,MI,KKR,KKR
Baba Indrajith,,,,,,,,,,,,,,,KKR,,,
John Hastings,,,,,,,CSK,,KKR,,,,,,,,,
Jaydev Unadkat,,,KKR,KKR,KKR,RCB,DC,DC,KKR,,RR,RR,RR,RR,MI,LSG,SRH,SRH
Harbhajan Singh,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,CSK,CSK,,KKR,,,,
Ali Khan,,,,,,,,,,,,,KKR,,,,,
Mohammad Nabi,,,,,,,,,,SRH,SRH,SRH,SRH,SRH,KKR,,MI,
Anukul Roy,,,,,,,,,,,MI,MI,MI,MI,KKR,KKR,KKR,KKR
Veer Pratap Singh,,,,,,SRH,KKR,KKR,,,,,,,,,,
Carlos Brathwaite,,,,,,,,,DC,DC,SRH,KKR,,,,,,
Shreevats Goswami,RCB,RCB,RCB,KKR,RR,RR,,,,,SRH,SRH,SRH,SRH,,,,
Iqbal Abdulla,KKR,,KKR,KKR,KKR,KKR,RR,RCB,RCB,RCB,,,,,,,,
Siddharth Kaul,KKR,,,,,DC,DC,SRH,SRH,SRH,SRH,SRH,SRH,SRH,RCB,RCB,,
Sayan Ghosh,,,,,,,,,,KKR,DC,,,,,,,
Shrikant Mundhe,,,,,,,,,,,,KKR,,,,,,
Yusuf Pathan,RR,RR,RR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,SRH,SRH,,,,,,
Kuldeep Yadav,,,,,MI,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,DC,DC,DC,DC
Ben Cutting,,,,,,,RR,RR,SRH,SRH,MI,MI,,KKR,,,,
Colin de Grandhomme,,,,,,,,,,KKR,RCB,RCB,,,,,,
Nathan Coulter-Nile,,,,,,MI,DC,DC,DC,KKR,,,MI,MI,RR,,,
Tom Banton,,,,,,,,,,,,,KKR,,,,,
Nitish Rana,,,,,,,,MI,MI,MI,KKR,KKR,KKR,KKR,KKR,KKR,KKR,RR
Aarya Desai,,,,,,,,,,,,,,,,KKR,,
Luvnith Sisodia,,,,,,,,,,,,,,,RCB,,,KKR
Sumit Narwal,,,RR,RR,RR,KKR,,KKR,,,,,,,,,,
Allah Ghazanfar,,,,,,,,,,,,,,,,,KKR,
Jacques Kallis,RCB,RCB,RCB,KKR,KKR,KKR,KKR,,,,,,,,,,,
Sam Billings,,,,,,,,,DC,DC,CSK,CSK,,DC,KKR,,,
Aakash Chopra,KKR,KKR,,RR,RR,,,,,,,,,,,,,
Brad Hogg,,,,,RR,RR,,KKR,KKR,,,,,,,,,
Javon Searles,,,,,,,,,,,KKR,,,,,,,
M Siddharth,,,,,,,,,,,,,KKR,DC,,,LSG,LSG
Ashok Dinda,KKR,KKR,KKR,DC,,,RCB,RCB,,,,,,,,,,
Johnson Charles,,,,,,,,,,,,,,,,KKR,,
Chamika Karunaratne,,,,,,,,,,,,,,,KKR,,,
Angkrish Raghuvanshi,,,,,,,,,,,,,,,,,KKR,KKR
Charl Langeveldt,,KKR,KKR,RCB,RCB,,,,,,,,,,,,,
R Sanjay Yadav,,,,,,,,,,KKR,,,,,,,,
Ajinkya Rahane,MI,MI,,RR,RR,RR,RR,RR,,,RR,RR,DC,DC,KKR,CSK,CSK,KKR
Brendon McCullum,KKR,KKR,KKR,,KKR,KKR,CSK,CSK,,,RCB,,,,,,,
James Pattinson,,,,KKR,KKR,KKR,,,,,,,MI,,,,,
Morne Morkel,RR,RR,RR,DC,DC,DC,KKR,KKR,KKR,,,,,,,,,
Chris Green,,,,,,,,,,,,,KKR,,,,,
Jason Holder,,,,,,CSK,SRH,,KKR,,,,SRH,SRH,LSG,RR,,
Harshit Rana,,,,,,,,,,,,,,,KKR,KKR,KKR,KKR
David Wiese,,,,,,,,RCB,RCB,,,,,,,KKR,,
Ishank Jaggi,,RCB,,,,,,,,KKR,KKR,,,,,,,
Shakib Al Hasan,,,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,SRH,SRH,,KKR,,KKR,,
Ricky Ponting,KKR,,,,,MI,,,,,,,,,,,,
Vinay Kumar,RCB,,RCB,,RCB,RCB,KKR,MI,MI,MI,KKR,,,,,,,
Sunil Narine,,,,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR
Robin Uthappa,MI,,RCB,,,,KKR,KKR,KKR,KKR,KKR,KKR,RR,CSK,CSK,,,
Chris Lynn,,,,,,SRH,KKR,KKR,KKR,KKR,KKR,KKR,MI,MI,,,,
Angelo Mathews,,KKR,KKR,,,,,DC,,DC,,,,,,,,
Joe Denly,,,,,,,,,,,,KKR,,,,,,
Mayank Markande,,,,,,,,,,,MI,MI,RR,RR,MI,SRH,SRH,KKR
Brad Haddin,,,,KKR,KKR,KKR,,,,,,,,,,,,
Anrich Nortje,,,,,,,,,,,,,DC,DC,DC,DC,DC,KKR
Ajantha Mendis,KKR,KKR,KKR,,,,,,,,,,,,,,,
