ID,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
247418,1.45,22.88,7.8,22.82,7.67,11.45,4.92,0.833,17.35,6.83,1.21,24.02,7.79,0.826,21.72,7.64,1.2,22.03,7.27,0.827,20.76,7.48,23.62,7.69,22.75,7.77,20.87,7.35,21.72,7.43
269356,1.777,18.88,6.31,17.05,6.17,0,0,0.75,16.82,6.28,1.75,18.04,6.2,0.571,16.45,6.32,1.333,20.81,6.16,0.666,16.65,6.3,19.52,6.17,0,0,0,0,0,0
271204,1.666,30.31,9.22,26.15,9.24,0,0,0,21.12,8.45,2,29.97,9.65,0.5,25.51,9.14,0,54.5,9.12,0.333,24.32,8.96,33.56,9.52,26.53,9,33.39,9.88,0,0
308345,3,34.11,7.94,22.19,7.21,0,0,0,29.1,7.27,0,17.12,6.85,0,22.76,7.4,0,74,8.96,1,25.52,7.33,28.5,7.8,0,0,0,0,0,0
313705,3.2,19.62,7.22,14.6,6.28,0,0,0.428,14.73,6.34,1.75,19.38,7.48,0.571,16.42,6.55,2.333,18.1,6.75,0.5,15.57,6.45,18.78,7.13,0,0,0,0,0,0
343050,0.645,24.42,8.28,26.13,8.17,0,0,1,23.18,7.64,1.058,25.17,8.42,0.944,26.93,8.52,1,23.62,7.68,0.961,25.72,8.24,24.72,8.2,28,8.8,24.05,8.15,24.32,7.98
375326,0.5,18.9,7.25,22.44,7.55,20.27,7.04,0.857,20.33,7.06,0.625,18.5,7.23,1.6,21.58,7.74,1.166,21.71,7.12,1.166,20.95,7.39,19.92,7.18,21.56,7.1,21.58,7.93,18.96,7.14
377285,0.846,25.01,8.03,24.96,8.11,0,0,0.944,26.42,8.02,1.642,27.6,7.96,0.608,23,8.19,1.058,23.62,8.11,0.756,24.53,8.11,25.51,8.03,24.38,7.96,23.18,7.84,29.98,8.77
378262,1,25.3,8.22,19.5,8.03,24.06,7.86,1.8,24.17,8.1,0.5,22.07,7.73,2,27.63,8.24,0.555,21.69,7.37,1.9,25.92,8.17,21.9,7.56,23.77,7.71,0,0,24.28,8.33
379598,0.914,22.96,7.59,21.73,7.23,0,0,0.461,22.25,7.66,2.428,24.08,7.55,0.411,20.26,7.14,2.166,25.19,7.57,0.425,20.8,7.29,24.37,7.55,22.41,7.37,21.93,7.74,0,0
392627,1.4,23.26,7.87,22.16,7.67,22.92,7.54,1.135,22.76,7.44,1.639,24.37,7.72,0.61,22.51,7.71,0.88,21.02,7.23,0.751,22.59,7.62,23.19,7.56,21.17,7.22,22.07,7.44,23.8,7.78
419210,1.2,27.03,8.69,22.88,8.4,19.65,7.66,0.857,21.37,8.22,2,30.07,8.22,0.5,20.58,8.11,1.166,22.26,8.12,0.727,21.13,8.19,24.23,8.15,19.1,7.85,0,0,26.24,8.45
424917,0.888,26.66,8.52,23.66,8.32,0,0,4,26.69,8.67,0.166,23.66,8.22,6,27.79,8.73,0.25,22.86,8.07,4.666,27.13,8.7,23.19,8.13,25.39,8.36,23.16,8.89,0,0
434211,1,24.34,8.28,23.85,8.21,27.64,8.16,1.352,24.89,8.12,0.833,23.31,8.4,1.2,26.92,8.6,0.739,22.46,7.89,1.281,25.83,8.34,22.85,8.12,25.05,8.23,23.17,7.87,24.75,8.53
441704,1.5,20.55,7.23,26.6,7.56,0,0,0,10.4,5.62,0.333,19.16,7.44,3,34.42,8.1,0,26.25,5.52,1.5,26.67,7.68,19.97,7.07,0,0,0,0,0,0
444258,1,24.05,8.12,24.76,8.05,0,0,0.888,25.16,8.23,0.727,19.88,7.68,1.375,25.67,8.37,1.125,28.4,8.01,1.117,25.43,8.31,23.29,7.84,25.18,8.02,24.6,7.7,23.67,8.31
461400,0.375,18.27,7.16,21.89,7.64,21.41,7.83,0.8,21.2,7.42,0,15.66,7.07,0,21.29,7.88,1.25,21.93,7.57,1.8,21.24,7.58,19.3,7.39,20.96,7.45,19.09,7.57,0,0
481147,1.125,20.67,7.5,20.58,7.46,21.73,7.23,0.956,21,7.19,0.647,21.59,7.41,1.545,21.74,7.62,1.045,21.66,7.07,1.147,21.29,7.36,21.63,7.2,0,0,0,0,0,0
485865,1.052,27.1,7.92,24.62,8.21,12.89,6.33,0.545,26.35,8.23,1.3,24.29,8.07,0.769,23.79,7.67,1.833,28.13,8.26,0.666,24.85,7.91,25.78,8.15,25.64,8.08,23.38,7.68,27.3,8.34
491951,0.714,16.67,6.05,19.01,6.94,20.44,7.08,0.909,20.3,6.89,1.25,18.15,6.86,0.8,20.12,6.87,1.1,19.89,7.03,0.857,20.21,6.88,19.05,6.95,0,0,0,0,0,0
499767,0,0,0,0,0,22.91,7.48,1.4,23.65,7.64,2.5,26.13,7.91,0.4,25.04,7.62,0.714,20.81,7.15,1.066,23.95,7.64,21.83,7.31,0,0,0,0,0,0
515435,1.428,18.57,7.13,19.69,7.23,0,0,2.333,22.27,7.68,0.75,16,6.67,1.333,19.73,7.78,0.428,17.48,6.5,1.833,21.2,7.72,16.87,6.56,0,0,0,0,0,0
545380,0.71,23.29,7.73,26.31,8.01,0,0,1.75,28.62,7.54,0.954,23.82,7.97,1.047,26.96,8.42,0.571,19.27,6.86,1.241,27.46,8.12,22.22,7.6,23.19,7.34,24.75,7.17,24.88,8.09
546331,0.333,19,6.87,31.45,7.29,0,0,0,0,0,0,34.75,7.36,0,17.92,6.81,0,0,0,0,17.92,6.81,34.75,7.36,0,0,0,0,0,0
573809,2.5,33,8.15,25.84,7.96,0,0,0,0,0,6,40.64,8.75,0.166,22.78,7.48,0,0,0,0.166,22.78,7.48,40.64,8.75,0,0,0,0,0,0
584781,3,21.09,7.01,17.25,6.03,18.41,6.58,0.714,16.38,6.21,1.2,19.86,6.77,0.833,22.01,6.8,1.4,16.81,6.51,0.769,18.79,6.49,18.19,6.64,0,0,0,0,0,0
601879,0.923,21.8,7.31,25.39,7.4,20.81,7.83,0.833,20.85,7.28,1.111,22.92,7.2,0.9,23.79,7.71,1.2,24.4,7.41,0.875,22.65,7.55,23.46,7.28,21.29,7.18,18.22,7.63,27.19,7.69
