ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,MaxWind,Tournament,BattingOrder,Role,Country,Batting Hand,Age
230558,6,142.3285199,2,1,MI,Wankhede,field,daynight,1,13,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,13.95575221,156,0,5,20,2.8607,2.6483,2.3044,2.0589,29.0,28.3,24.5,IPL,3,ALL,West Indies,LHB,30
422108,6,136.8421053,2,0,RR,Indore,field,night,1,162,1,1.744,8.17,21.99,1.653,8.26,22.62,0.573,8.17,25.66,36.0,77,2,15,3,3.1301,3.0745,4.6634,2.2285,40.8,28.4,22.1,IPL,1,WK,India,RHB,26
471342,6,148.0392157,1,1,KKR,Wankhede,field,daynight,0,28,1,1.25,8.32,25.62,0.724,8.41,27.14,0.732,8.29,26.23,28.3125,45,0,2,1,2.3917,2.6483,3.7882,3.2319,29.0,28.3,24.5,IPL,2,ALL,India,LHB,27
290630,6,120.2902446,1,1,RCB,Hyderabad,field,night,0,9,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,29.25490196,191,1,21,19,3.4309,2.6483,4.2372,2.8927,37.7,26.7,11.5,IPL,2,BAT,India,RHB,29
326016,6,98.4063745,1,0,RCB,Hyderabad,field,night,0,1,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,8.821428571,53,0,0,5,1.6121,1.9201,2.9686,1.7569,37.7,26.7,11.5,IPL,4,BOWL,India,RHB,28
438362,6,88.70967742,1,1,RCB,Hyderabad,field,night,0,-4,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,13.75,21,0,0,1,1.8145,1.4939,2.0478,1.9719,37.7,26.7,11.5,IPL,4,BOWL,Indian,RHB,25
793463,6,129.5719844,1,1,RCB,Hyderabad,field,night,0,-1,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,11.89285714,49,0,0,4,1.9655,1.7631,3.1382,1.0927,37.7,26.7,11.5,IPL,3,ALL,Afghanistan,RHB,20
8917,6,127.2974443,2,1,SRH,Hyderabad,field,night,1,24,0,1.016,8.12,26.41,0.972,8.2,27.07,0.813,8.08,25.61,21.47706422,122,0,12,17,2.8621,1.4939,1.3382,1.0927,37.7,26.7,11.5,IPL,2,ALL,England,LHB,31
253802,6,134.2011666,2,1,SRH,Hyderabad,field,night,1,73,0,1.016,8.12,26.41,0.972,8.2,27.07,0.813,8.08,25.61,42.87727273,275,4,73,9,4.4601,3.0745,4.6634,4.2269,37.7,26.7,11.5,IPL,2,BAT,India,RHB,30
422108,6,137.414966,2,0,RR,Jaipur,bat,night,0,181,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,37.29230769,78,2,16,3,3.1301,3.5007,1.3382,3.6581,35.7,25.9,25.3,IPL,1,WK,India,RHB,26
